"YieldCoefficientVariation_Percent","YieldMean_PoundPerAcre","Latitude_DecimalDegrees","Longitude_DecimalDegrees"
41.47,1055.51,45.478430643,-120.771239098
33.82,693.99,45.478430643,-120.937895594
20.65,1838.02,45.478430643,-120.979559718
35.99,667.54,45.478430643,-121.021223842
32.31,1227.49,45.478430643,-121.10455209
26.3,1486.27,45.478430643,-121.146216214
18.46,1762.9,45.478430643,-121.187880338
20.67,1866.86,45.520094767,-117.438109178
21.53,1781.03,45.520094767,-117.479773302
24.28,1881.82,45.520094767,-117.896414542
19.78,1752,45.520094767,-117.97974279
21.46,1734.57,45.520094767,-118.021406914
22.52,2053.33,45.520094767,-118.063071038
50.15,936.1,45.520094767,-118.729697022
70.47,566.99,45.520094767,-118.771361146
81.86,437.36,45.520094767,-118.81302527
79.39,433.18,45.520094767,-118.854689394
93.3,375.63,45.520094767,-118.938017642
61.99,828.81,45.520094767,-119.104674138
122.46,122.74,45.520094767,-119.521315378
120.39,116.16,45.520094767,-119.562979502
122.69,106.06,45.520094767,-119.604643626
120.48,96.86,45.520094767,-119.64630775
127.19,96.17,45.520094767,-119.687971874
124.25,110.22,45.520094767,-119.729635998
149.65,112.72,45.520094767,-119.771300122
132.08,108.46,45.520094767,-119.812964246
130.23,115.36,45.520094767,-119.85462837
146.74,79.95,45.520094767,-119.937956618
152.95,93.06,45.520094767,-119.979620742
128.07,130.29,45.520094767,-120.021284866
138.46,135.71,45.520094767,-120.104613114
133.44,178.71,45.520094767,-120.146277238
157.4,106.5,45.520094767,-120.27126961
155.67,104.02,45.520094767,-120.312933734
104.56,283.43,45.520094767,-120.521254354
75.03,493.7,45.520094767,-120.562918478
56.08,694.71,45.520094767,-120.646246726
58.46,711.95,45.520094767,-120.68791085
42.98,1015.96,45.520094767,-120.729574974
36.11,1175.03,45.520094767,-120.771239098
17.83,1913.23,45.520094767,-120.937895594
19.11,1717.12,45.520094767,-120.979559718
19.74,1057.83,45.520094767,-121.021223842
17.92,1680.77,45.520094767,-121.062887966
18.16,1634.28,45.520094767,-121.10455209
17.04,1760,45.520094767,-121.146216214
20.93,1920.95,45.561758891,-117.479773302
22.88,1815.15,45.561758891,-117.521437426
22.95,1922.43,45.561758891,-117.938078666
23.42,1848.76,45.561758891,-118.688032898
57.4,776.96,45.561758891,-118.729697022
65.92,587.54,45.561758891,-118.771361146
62.02,595.98,45.561758891,-118.854689394
106.83,158.84,45.561758891,-119.479651254
104.93,141.68,45.561758891,-119.521315378
101.13,123.75,45.561758891,-119.562979502
104.35,117.77,45.561758891,-119.604643626
118.06,82.87,45.561758891,-119.64630775
122.79,79.48,45.561758891,-119.687971874
132.6,84.97,45.561758891,-119.729635998
118.46,133.62,45.561758891,-119.771300122
120.3,117.87,45.561758891,-119.812964246
139.88,72.03,45.561758891,-119.85462837
130.24,77.13,45.561758891,-119.896292494
137.84,84.94,45.561758891,-119.979620742
134.85,97.18,45.561758891,-120.021284866
50.6,561.92,45.561758891,-120.146277238
123.76,181.18,45.561758891,-120.187941362
129.83,157.11,45.561758891,-120.229605486
79.7,430.95,45.561758891,-120.521254354
50.72,794.09,45.561758891,-120.562918478
47.33,894.32,45.561758891,-120.604582602
42.86,967.14,45.561758891,-120.646246726
41.11,1053.68,45.561758891,-120.68791085
43.01,1038.34,45.561758891,-120.729574974
39.24,1084.36,45.561758891,-120.771239098
32.04,1253.37,45.561758891,-120.812903222
26.77,1390.33,45.561758891,-120.854567346
15.44,1961.12,45.561758891,-120.937895594
15.14,1954.36,45.561758891,-120.979559718
15.22,1954.92,45.561758891,-121.021223842
18.11,1065.67,45.561758891,-121.062887966
15.57,1838.59,45.561758891,-121.10455209
15.69,1883.36,45.561758891,-121.146216214
20.54,1906.69,45.603423015,-117.896414542
37.76,1219.62,45.603423015,-118.688032898
41.79,1046.47,45.603423015,-118.729697022
43.37,937.16,45.603423015,-118.771361146
33.9,878.9,45.603423015,-119.02134589
31.44,812.05,45.603423015,-119.063010014
38.69,550,45.603423015,-119.22966651
96.68,145.67,45.603423015,-119.521315378
46.44,526.64,45.603423015,-119.562979502
42.75,537.05,45.603423015,-119.604643626
80.1,155.13,45.603423015,-119.64630775
85.09,147.18,45.603423015,-119.687971874
105.47,110.01,45.603423015,-119.729635998
102.64,137.9,45.603423015,-119.771300122
108.9,88.54,45.603423015,-119.812964246
100.71,86.01,45.603423015,-119.85462837
99.31,101.32,45.603423015,-119.896292494
108.01,116.16,45.603423015,-119.979620742
50.19,482.89,45.603423015,-120.021284866
71.5,476.28,45.603423015,-120.521254354
49.56,766.69,45.603423015,-120.562918478
41.31,998.2,45.603423015,-120.604582602
39.41,1059.88,45.603423015,-120.646246726
39.93,1000.72,45.603423015,-120.68791085
40.81,964.13,45.603423015,-120.729574974
36.63,1071.34,45.603423015,-120.771239098
28.21,1299.57,45.603423015,-120.812903222
21.88,1609.85,45.603423015,-120.854567346
15.63,2041.08,45.603423015,-120.937895594
15.11,2035.27,45.603423015,-120.979559718
15.99,1917.5,45.603423015,-121.021223842
17.73,1082.8,45.603423015,-121.062887966
18.64,1695.35,45.603423015,-121.10455209
20.72,1845.58,45.645087139,-118.60470465
28.69,1464.15,45.645087139,-118.646368774
38.94,1158.59,45.645087139,-118.688032898
39.57,1060.69,45.645087139,-118.729697022
40.15,992.33,45.645087139,-118.771361146
70.49,408.6,45.645087139,-119.063010014
66.54,268.01,45.645087139,-119.43798713
67.63,266.61,45.645087139,-119.479651254
34.24,630.31,45.645087139,-119.562979502
42.45,572.38,45.645087139,-120.021284866
96.49,256.04,45.645087139,-120.27126961
98.79,252.51,45.645087139,-120.312933734
114,228.77,45.645087139,-120.396261982
101.63,272.99,45.645087139,-120.437926106
56.24,626.69,45.645087139,-120.562918478
39.05,956.53,45.645087139,-120.604582602
34.91,1086.5,45.645087139,-120.646246726
39.89,967.32,45.645087139,-120.68791085
40.12,1016.94,45.645087139,-120.729574974
35.06,1144.02,45.645087139,-120.771239098
30.21,1250.65,45.645087139,-120.812903222
26.36,1339.99,45.686751263,-118.521376402
25.21,1280.47,45.686751263,-118.563040526
23.93,1686.24,45.686751263,-118.60470465
27.25,1568.89,45.686751263,-118.646368774
31.87,1375.77,45.686751263,-118.688032898
41.86,998.61,45.686751263,-118.771361146
43.8,912.37,45.686751263,-118.81302527
45.01,786.91,45.686751263,-118.854689394
41.76,969.06,45.686751263,-118.896353518
41.82,972.89,45.686751263,-118.938017642
46.17,809.72,45.686751263,-118.979681766
55.27,563.68,45.686751263,-119.063010014
65.87,351.52,45.686751263,-119.188002386
61.06,365.68,45.686751263,-119.43798713
64.24,337.78,45.686751263,-119.479651254
152.71,111.04,45.686751263,-120.396261982
133.5,162.36,45.686751263,-120.437926106
37.7,978.03,45.686751263,-120.604582602
32.39,1237.68,45.686751263,-120.646246726
36.41,1095.98,45.686751263,-120.68791085
26.3,1347.51,45.728415387,-118.438048154
17.74,2130.12,45.728415387,-118.479712278
18.56,2035.54,45.728415387,-118.521376402
21.32,1830.11,45.728415387,-118.563040526
24.02,1687.46,45.728415387,-118.60470465
24.48,1705.12,45.728415387,-118.646368774
25.17,1614.59,45.728415387,-118.688032898
28.49,1529.9,45.728415387,-118.729697022
33.69,1336.52,45.728415387,-118.771361146
43.38,983.34,45.728415387,-118.81302527
42.2,929.89,45.728415387,-118.854689394
41.23,925.22,45.728415387,-118.896353518
41.1,877.37,45.728415387,-118.938017642
43.02,794.39,45.728415387,-118.979681766
52.12,606.39,45.728415387,-119.063010014
48.19,601.76,45.728415387,-119.104674138
15.65,2158.65,45.728415387,-120.854567346
15.57,2151.17,45.728415387,-120.89623147
16.1,2114.43,45.728415387,-120.937895594
15.94,2092.16,45.728415387,-120.979559718
27.75,1372.23,45.770079511,-118.438048154
17.36,2031.54,45.770079511,-118.479712278
17.23,1962.76,45.770079511,-118.521376402
20.31,1803.81,45.770079511,-118.563040526
21.25,1820.57,45.770079511,-118.60470465
21.34,1818.47,45.770079511,-118.646368774
21.73,1800.02,45.770079511,-118.688032898
23.83,1761.41,45.770079511,-118.729697022
30.31,1472.98,45.770079511,-118.771361146
35.25,1294.24,45.770079511,-118.81302527
36.37,1179.44,45.770079511,-118.854689394
40.94,920.11,45.770079511,-118.938017642
44.35,660.24,45.770079511,-119.063010014
16.23,2139.25,45.770079511,-120.729574974
17.07,2138.88,45.770079511,-120.771239098
17.09,2131.69,45.770079511,-120.812903222
17.1,2115.63,45.770079511,-120.854567346
17.33,2100.15,45.770079511,-120.89623147
16.55,2001.21,45.770079511,-120.937895594
27.24,1354.52,45.811743635,-118.39638403
18.26,1895.64,45.811743635,-118.438048154
19.05,1899.07,45.811743635,-118.479712278
17.5,1922.17,45.811743635,-118.521376402
17.71,1900.3,45.811743635,-118.563040526
17.95,1862.69,45.811743635,-118.60470465
19.43,1913.5,45.811743635,-118.646368774
19.25,1926.66,45.811743635,-118.688032898
23.18,1763.25,45.811743635,-118.729697022
26.58,1639.93,45.811743635,-118.771361146
30.21,1478.3,45.811743635,-118.81302527
29.99,1390.19,45.811743635,-118.854689394
31.46,1320.62,45.811743635,-118.896353518
37.5,999.65,45.811743635,-118.979681766
38.42,820.46,45.811743635,-119.02134589
15.98,2048.27,45.811743635,-120.729574974
15.94,2011.12,45.811743635,-120.771239098
16.57,1987.42,45.811743635,-120.89623147
26.18,1401.92,45.853407759,-118.354719906
19.02,1901.8,45.853407759,-118.39638403
18.97,1886.18,45.853407759,-118.438048154
19.05,1901.98,45.853407759,-118.479712278
17.81,2021.35,45.853407759,-118.521376402
18.36,1942.71,45.853407759,-118.563040526
22.3,1731.81,45.853407759,-118.60470465
20.02,1827.78,45.853407759,-118.646368774
18.58,1960.67,45.853407759,-118.688032898
17.8,2008.85,45.853407759,-118.729697022
21.36,1933.36,45.853407759,-118.771361146
24.43,1833.56,45.853407759,-118.81302527
25.18,1689.06,45.853407759,-118.854689394
28.69,1451.73,45.853407759,-118.896353518
33.87,1240.35,45.853407759,-118.938017642
34.56,1045.63,45.853407759,-118.979681766
16.62,1940.2,45.853407759,-120.854567346
16.32,1946.5,45.853407759,-120.89623147
16.8,1980.17,45.853407759,-120.937895594
24.11,2217.47,45.895071883,-116.188185458
24.74,2072.17,45.895071883,-116.229849582
25.88,2119.34,45.895071883,-116.271513706
21.91,2305.82,45.895071883,-117.313116806
18.69,2043.37,45.895071883,-118.313055782
18.31,1815.61,45.895071883,-118.354719906
21.28,1667.03,45.895071883,-118.39638403
18.86,1791.6,45.895071883,-118.438048154
19.71,1792.19,45.895071883,-118.479712278
16.85,1979.08,45.895071883,-118.521376402
20.12,2022.83,45.895071883,-118.563040526
20.92,2013.18,45.895071883,-118.60470465
21.49,1979.89,45.895071883,-118.646368774
18.31,1964.08,45.895071883,-118.688032898
17.63,2073.23,45.895071883,-118.729697022
17.58,2091.71,45.895071883,-118.771361146
19.56,2029.58,45.895071883,-118.81302527
22.27,1916.51,45.895071883,-118.854689394
25.69,1687.17,45.895071883,-118.896353518
24.2,2177.62,45.936736007,-116.063193086
26.47,2134.08,45.936736007,-116.10485721
26.69,2141.9,45.936736007,-116.146521334
25.4,2159.29,45.936736007,-116.188185458
24.83,2096.04,45.936736007,-116.229849582
23.53,2008.55,45.936736007,-116.271513706
22.86,2239.56,45.936736007,-117.229788558
16.73,2185.11,45.936736007,-118.271391658
16.22,1864.09,45.936736007,-118.313055782
27.99,1285.94,45.936736007,-118.354719906
29.96,1186.66,45.936736007,-118.438048154
25.15,1287.39,45.936736007,-118.479712278
24.17,1283.11,45.936736007,-118.521376402
20.19,1592.35,45.936736007,-118.563040526
19.76,1685.57,45.936736007,-118.60470465
17.92,1829.53,45.936736007,-118.646368774
17.12,2009.28,45.936736007,-118.688032898
17.04,2058.55,45.936736007,-118.729697022
17.35,2156.34,45.936736007,-118.771361146
18.43,2086.5,45.936736007,-118.81302527
61.38,255.47,45.936736007,-119.979620742
21.93,2135.55,45.978400131,-116.063193086
25.68,2126.15,45.978400131,-116.10485721
25.06,2126.44,45.978400131,-116.146521334
26.09,2095.19,45.978400131,-116.188185458
25.62,2127.58,45.978400131,-116.229849582
24.95,2126.79,45.978400131,-116.271513706
24.02,2119.94,45.978400131,-116.31317783
23.91,2244.21,45.978400131,-116.396506078
30.52,1501.23,45.978400131,-118.229727534
15.33,2087.34,45.978400131,-118.271391658
19.2,1615.67,45.978400131,-118.313055782
26.06,1266.08,45.978400131,-118.354719906
24.81,1263.42,45.978400131,-118.39638403
21.47,1378.66,45.978400131,-118.438048154
20.76,1464.63,45.978400131,-118.479712278
19.88,1438.29,45.978400131,-118.521376402
21,1393.72,45.978400131,-118.563040526
21.44,1268.22,45.978400131,-118.60470465
16.22,2129.08,45.978400131,-118.81302527
19.08,1976.96,45.978400131,-118.854689394
77.37,114.52,45.978400131,-119.85462837
22.58,1757.8,45.978400131,-120.187941362
19.83,1837.27,45.978400131,-120.229605486
21.72,2090.53,46.020064255,-116.063193086
23.16,2087.94,46.020064255,-116.10485721
25.02,2087.48,46.020064255,-116.146521334
26.79,2070.01,46.020064255,-116.188185458
24.76,2111.69,46.020064255,-116.229849582
23.89,2137.02,46.020064255,-116.271513706
22.79,2188.11,46.020064255,-116.31317783
23.4,2235.53,46.020064255,-116.354841954
23.04,2288.82,46.020064255,-116.396506078
22.88,2367.41,46.020064255,-116.438170202
19.55,2384.69,46.020064255,-118.18806341
17.77,2028.84,46.020064255,-118.229727534
18.19,1890.32,46.020064255,-118.271391658
24.2,1417.56,46.020064255,-118.313055782
17.95,1485.95,46.020064255,-118.354719906
25.71,1334.95,46.020064255,-118.438048154
24.51,1410.62,46.020064255,-118.479712278
24.43,1373.88,46.020064255,-118.521376402
24.15,1316.38,46.020064255,-118.563040526
24.43,1200.95,46.020064255,-118.60470465
26.95,1005.01,46.020064255,-118.646368774
54.25,255.06,46.020064255,-119.729635998
53.66,230.13,46.020064255,-119.771300122
56.36,212.79,46.020064255,-119.812964246
59.79,216.8,46.020064255,-119.85462837
21.64,1733.09,46.020064255,-120.187941362
20.57,1781.56,46.020064255,-120.229605486
22.99,2050.2,46.061728379,-116.063193086
24.32,2056.12,46.061728379,-116.146521334
25.18,2103.84,46.061728379,-116.188185458
24.72,2111.26,46.061728379,-116.229849582
22.88,2205.36,46.061728379,-116.271513706
20.65,2216.86,46.061728379,-116.31317783
21.4,2298.03,46.061728379,-116.354841954
22.15,2397.09,46.061728379,-116.396506078
18.63,2134.89,46.061728379,-118.18806341
17.71,2039.07,46.061728379,-118.229727534
21.16,1721.37,46.061728379,-118.271391658
17.75,1528.56,46.061728379,-118.438048154
25.08,1390.07,46.061728379,-118.479712278
25.03,1363.18,46.061728379,-118.521376402
25.42,1297.31,46.061728379,-118.563040526
25.98,1067.27,46.061728379,-118.646368774
27.32,1056.09,46.061728379,-118.688032898
38.58,608.67,46.061728379,-119.104674138
60.87,233.55,46.061728379,-119.812964246
64.34,246.41,46.061728379,-119.85462837
23.7,2113.83,46.103392503,-116.10485721
25.84,2143.38,46.103392503,-116.146521334
25.67,2076.47,46.103392503,-116.188185458
24.3,2163.08,46.103392503,-116.229849582
22.82,2232.29,46.103392503,-116.271513706
21.3,2280.12,46.103392503,-116.31317783
21.17,2333.54,46.103392503,-116.354841954
21.36,2388.12,46.103392503,-116.438170202
20.92,2355.55,46.103392503,-118.104735162
16.9,2362.86,46.103392503,-118.146399286
17.08,2329.51,46.103392503,-118.18806341
14.9,1969.05,46.103392503,-118.229727534
19.66,1767.08,46.103392503,-118.271391658
22.85,1554.83,46.103392503,-118.313055782
21.47,1511.26,46.103392503,-118.354719906
22.55,1458.08,46.103392503,-118.39638403
23.97,1406.49,46.103392503,-118.438048154
23.85,1450.38,46.103392503,-118.479712278
22.92,1355.6,46.103392503,-118.688032898
21.77,1435.84,46.103392503,-118.729697022
28.59,789.11,46.103392503,-119.146338262
36.58,629.83,46.103392503,-119.271330634
35.34,676.48,46.103392503,-119.312994758
38.33,635.26,46.103392503,-119.354658882
39.79,583.59,46.103392503,-119.396323006
47.18,491.19,46.103392503,-119.43798713
49.37,303.54,46.103392503,-119.521315378
61.51,353.3,46.103392503,-119.812964246
24.67,2186.78,46.145056627,-116.146521334
25.3,2088.98,46.145056627,-116.188185458
24.45,2154.51,46.145056627,-116.229849582
22.81,2222.85,46.145056627,-116.271513706
21.85,2247.5,46.145056627,-116.31317783
20.57,2315,46.145056627,-116.354841954
20.41,2346.77,46.145056627,-116.396506078
21.5,2363.14,46.145056627,-116.438170202
21.5,2361.16,46.145056627,-116.479834326
22.03,2350.99,46.145056627,-116.52149845
19.79,2355.3,46.145056627,-118.104735162
16.81,2290.23,46.145056627,-118.146399286
18.16,2318.42,46.145056627,-118.18806341
16.93,2236.98,46.145056627,-118.229727534
19.03,1823.43,46.145056627,-118.271391658
22.16,1579.07,46.145056627,-118.313055782
22.47,1528.23,46.145056627,-118.354719906
19.75,1611.73,46.145056627,-118.39638403
19.48,1578.35,46.145056627,-118.438048154
18.7,1683.49,46.145056627,-118.521376402
18.01,1768.13,46.145056627,-118.563040526
22.2,1374.02,46.145056627,-118.688032898
33.44,609.68,46.145056627,-119.271330634
34.72,644.28,46.145056627,-119.312994758
29.32,769.51,46.145056627,-119.354658882
30.78,768.74,46.145056627,-119.396323006
36.66,704.36,46.145056627,-119.43798713
49.64,424.24,46.145056627,-119.521315378
50.96,376.5,46.145056627,-119.64630775
51.07,352.88,46.145056627,-119.687971874
51.55,367.08,46.145056627,-119.729635998
52.9,432.6,46.145056627,-119.771300122
52.16,453.77,46.145056627,-119.812964246
22.78,2004.97,46.186720751,-116.10485721
21.95,2102.15,46.186720751,-116.146521334
22.86,2082.04,46.186720751,-116.188185458
22.85,2260.01,46.186720751,-116.229849582
21.61,2311.56,46.186720751,-116.271513706
20.71,2364.28,46.186720751,-116.31317783
20.21,2251.82,46.186720751,-116.354841954
19.77,2313.69,46.186720751,-116.396506078
19.89,2296.79,46.186720751,-116.438170202
20.63,2326.9,46.186720751,-116.479834326
21.83,2342.83,46.186720751,-116.52149845
25.05,2398.08,46.186720751,-116.604826698
25.11,1582.05,46.186720751,-117.063132062
25.47,1718.05,46.186720751,-117.104796186
24.56,1744.79,46.186720751,-117.14646031
19.62,2302.59,46.186720751,-118.063071038
16.65,2267.04,46.186720751,-118.146399286
17.2,2221.59,46.186720751,-118.18806341
16.07,2035.26,46.186720751,-118.229727534
20.6,1782.49,46.186720751,-118.271391658
19.91,1758.51,46.186720751,-118.313055782
20.39,1723.25,46.186720751,-118.354719906
20.06,1640.93,46.186720751,-118.39638403
19.43,1700.81,46.186720751,-118.438048154
20.97,1662.57,46.186720751,-118.521376402
18.7,1774.98,46.186720751,-118.563040526
27.86,797.39,46.186720751,-119.43798713
29.3,783.63,46.186720751,-119.479651254
31.53,752.94,46.186720751,-119.521315378
31.34,726.81,46.186720751,-119.562979502
39.81,503.76,46.186720751,-119.604643626
45.98,443.31,46.186720751,-119.64630775
49.14,395.52,46.186720751,-119.687971874
21.8,2056.5,46.228384875,-116.10485721
23.7,2056.12,46.228384875,-116.146521334
24.78,2144.76,46.228384875,-116.188185458
22.26,2224.67,46.228384875,-116.229849582
21.03,2309.22,46.228384875,-116.271513706
20.01,2351.47,46.228384875,-116.31317783
21.22,2328.52,46.228384875,-116.354841954
19.96,2371.15,46.228384875,-116.396506078
19.04,2403.19,46.228384875,-116.438170202
19.93,2392.14,46.228384875,-116.479834326
19.87,2330.72,46.228384875,-116.52149845
20.03,2460.99,46.228384875,-116.563162574
24.57,2219.97,46.228384875,-116.604826698
22.61,2153.47,46.228384875,-116.896475566
22.6,1608.94,46.228384875,-117.063132062
31.22,1506.29,46.228384875,-117.229788558
21.38,2356.95,46.228384875,-117.97974279
17.76,2306.94,46.228384875,-118.021406914
16.04,2231.21,46.228384875,-118.063071038
16.43,2190.52,46.228384875,-118.104735162
17.15,2121.28,46.228384875,-118.146399286
16.23,2190.27,46.228384875,-118.18806341
16.35,2162.27,46.228384875,-118.229727534
17.5,2079.64,46.228384875,-118.271391658
16.82,1940.01,46.228384875,-118.313055782
17.88,1883.99,46.228384875,-118.354719906
19.86,1744.23,46.228384875,-118.39638403
18.73,1801.01,46.228384875,-118.438048154
20.71,1662.2,46.228384875,-118.479712278
21.47,1565.95,46.228384875,-118.521376402
22.75,1441.94,46.228384875,-118.563040526
23.46,939.89,46.228384875,-119.521315378
27.23,874.98,46.228384875,-119.562979502
36.21,591.16,46.228384875,-119.604643626
21.04,2082,46.270048999,-116.146521334
24.6,2140.85,46.270048999,-116.188185458
22.77,2231.53,46.270048999,-116.229849582
21.63,2277.07,46.270048999,-116.271513706
20.99,2311.11,46.270048999,-116.31317783
20.38,2358.8,46.270048999,-116.354841954
19.74,2348.82,46.270048999,-116.396506078
19.12,2378.71,46.270048999,-116.438170202
19.51,2425.32,46.270048999,-116.479834326
18.91,2439.36,46.270048999,-116.52149845
20.19,2444.32,46.270048999,-116.563162574
20.26,2451.67,46.270048999,-116.604826698
20.57,2524.52,46.270048999,-116.646490822
23.79,2208.97,46.270048999,-116.771483194
24.6,2242.32,46.270048999,-116.813147318
23.7,2137.98,46.270048999,-116.854811442
22.86,2142.54,46.270048999,-116.896475566
28.18,1520.79,46.270048999,-117.229788558
19.07,2236.45,46.270048999,-117.938078666
16,2242.39,46.270048999,-117.97974279
16.92,2124.97,46.270048999,-118.021406914
17.41,1954.57,46.270048999,-118.063071038
17.67,1958.53,46.270048999,-118.104735162
16.62,2026.6,46.270048999,-118.146399286
18.15,2011.99,46.270048999,-118.18806341
18.8,1920.76,46.270048999,-118.229727534
18.99,1940.05,46.270048999,-118.271391658
18.08,1913.09,46.270048999,-118.313055782
17.84,1900.59,46.270048999,-118.354719906
21.03,1656.25,46.270048999,-118.39638403
23.02,1527.07,46.270048999,-118.438048154
22.7,1437.31,46.270048999,-118.479712278
22.54,1426.63,46.270048999,-118.521376402
22.81,1398.81,46.270048999,-118.563040526
22.86,2045.2,46.311713123,-116.188185458
23.61,2215.15,46.311713123,-116.229849582
23.8,2227.57,46.311713123,-116.271513706
22.71,2281.81,46.311713123,-116.31317783
22.49,2283.68,46.311713123,-116.354841954
22.1,2284.15,46.311713123,-116.396506078
20.51,2329.26,46.311713123,-116.438170202
20.34,2362.2,46.311713123,-116.479834326
19.42,2369.29,46.311713123,-116.52149845
19.55,2369.12,46.311713123,-116.563162574
20.69,2281.41,46.311713123,-116.604826698
